"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 26 11:30:47 CST 2023","Wed Jul 26 11:31:18 CST 2023","30883","scripts","test02_change_carcenter","TestChangeCarcenter","","","test_change_carcenter[2-200]",""
"broken","Wed Jul 26 10:15:35 CST 2023","Wed Jul 26 10:16:05 CST 2023","30827","scripts","test01_open_carcenter","TestOpenCarcenter","","","test_open_carcenter",""
"passed","Tue Jul 18 16:02:40 CST 2023","Tue Jul 18 16:17:31 CST 2023","890890","","","","","","test_change_carcenter",""
"broken","Wed Jul 26 11:34:18 CST 2023","Wed Jul 26 12:21:22 CST 2023","2824642","scripts","test02_change_carcenter","TestChangeCarcenter","","","test_change_carcenter",""
"passed","Wed Jul 26 11:29:37 CST 2023","Wed Jul 26 11:30:37 CST 2023","60237","scripts","test02_change_carcenter","TestChangeCarcenter","","","test_change_carcenter[1-200]",""
"broken","Fri Jul 21 17:08:00 CST 2023","Fri Jul 21 17:08:00 CST 2023","0","scripts","test03_click_arcenter","TestOpenCarcenter","","","test_open_carcenter",""
"passed","Wed Jul 26 10:13:58 CST 2023","Wed Jul 26 10:14:01 CST 2023","3846","scripts","test01_open_carcenter","TestOpenCarcenter","","","test_swipe_to_right",""
